game_id,away_team,home_team,ev_team,event,prev_event,seconds_elapsed_game,seconds_elapsed_period,time_since_prev_event,time_since_prev_shot,time_since_prev_home_shot,time_since_prev_away_shot,time_since_prev_goal,time_since_prev_home_goal,time_since_prev_away_goal,is_goal,cumulative_shots_period,cumulative_shots_game,cumulative_goals_game,home_leads_1,home_leads_2,home_leads_3plus,away_leads_1,away_leads_2,away_leads_3plus,home_team_5vs4_pp,home_team_5vs3_pp,away_team_5vs4_pp,away_team_5vs3_pp,period_1,period_2,period_3
20012,L.A,BUF,L.A,GOAL,SHOT,3558.0,1158.0,4.0,30.0,30.0,43.0,56.0,1158.0,56.0,1,49,124,4,0,0,0,1,0,0,0,0,0,0,0,0,1
20013,FLA,OTT,OTT,GOAL,GIVE,352.0,352.0,1.0,19.0,19.0,127.0,352.0,352.0,352.0,1,18,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20013,FLA,OTT,OTT,GOAL,FAC,642.0,642.0,2.0,15.0,90.0,15.0,290.0,290.0,642.0,1,29,29,2,1,0,0,0,0,0,0,0,0,0,1,0,0
20013,FLA,OTT,FLA,GOAL,BLOCK,2148.0,948.0,15.0,40.0,40.0,117.0,948.0,948.0,948.0,1,25,74,3,0,1,0,0,0,0,0,0,0,0,0,1,0
20013,FLA,OTT,OTT,GOAL,HIT,3530.0,1130.0,4.0,7.0,106.0,7.0,1130.0,1130.0,1130.0,1,44,127,4,1,0,0,0,0,0,0,0,0,0,0,0,1
20014,PIT,DET,DET,GOAL,MISS,226.0,226.0,10.0,11.0,78.0,11.0,226.0,226.0,226.0,1,6,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20014,PIT,DET,PIT,GOAL,SHOT,902.0,902.0,2.0,33.0,33.0,60.0,676.0,676.0,902.0,1,36,36,2,1,0,0,0,0,0,0,0,0,0,1,0,0
20014,PIT,DET,PIT,GOAL,MISS,1375.0,175.0,1.0,3.0,22.0,3.0,175.0,175.0,175.0,1,8,51,3,0,0,0,0,0,0,0,0,0,0,0,1,0
20014,PIT,DET,PIT,GOAL,FAC,1433.0,233.0,7.0,58.0,80.0,58.0,58.0,233.0,58.0,1,9,52,4,0,0,0,1,0,0,0,0,0,0,0,1,0
20014,PIT,DET,PIT,GOAL,GIVE,1528.0,328.0,7.0,41.0,41.0,95.0,95.0,328.0,95.0,1,12,55,5,0,0,0,0,1,0,0,0,0,0,0,1,0
20014,PIT,DET,DET,GOAL,GIVE,1952.0,752.0,6.0,10.0,10.0,154.0,424.0,752.0,424.0,1,24,67,6,0,0,0,0,0,1,0,0,0,0,0,1,0
20014,PIT,DET,PIT,GOAL,GIVE,2502.0,102.0,6.0,34.0,102.0,34.0,102.0,102.0,102.0,1,2,80,7,0,0,0,0,1,0,0,0,0,0,0,0,1
20014,PIT,DET,DET,GOAL,SHOT,2893.0,493.0,2.0,2.0,2.0,229.0,391.0,493.0,391.0,1,13,91,8,0,0,0,0,0,1,0,0,0,0,0,0,1
20014,PIT,DET,PIT,GOAL,MISS,3141.0,741.0,3.0,3.0,34.0,3.0,248.0,248.0,639.0,1,23,101,9,0,0,0,0,1,0,0,0,0,0,0,0,1
20015,TOR,N.J,TOR,GOAL,GIVE,498.0,498.0,28.0,53.0,53.0,89.0,498.0,498.0,498.0,1,14,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20015,TOR,N.J,TOR,GOAL,SHOT,689.0,689.0,3.0,62.0,62.0,191.0,191.0,689.0,191.0,1,21,21,2,0,0,0,1,0,0,0,0,0,0,1,0,0
20015,TOR,N.J,TOR,GOAL,FAC,886.0,886.0,5.0,50.0,259.0,50.0,197.0,886.0,197.0,1,25,25,3,0,0,0,0,1,0,0,0,0,0,1,0,0
20015,TOR,N.J,N.J,GOAL,MISS,1158.0,1158.0,5.0,25.0,25.0,99.0,272.0,1158.0,272.0,1,39,39,4,0,0,0,0,0,1,0,0,0,0,1,0,0
20015,TOR,N.J,TOR,GOAL,FAC,2092.0,892.0,6.0,15.0,15.0,206.0,892.0,892.0,892.0,1,33,73,5,0,0,0,0,1,0,0,0,0,0,0,1,0
20015,TOR,N.J,N.J,GOAL,HIT,2394.0,1194.0,4.0,34.0,34.0,121.0,302.0,1194.0,302.0,1,47,87,6,0,0,0,0,0,1,0,0,0,0,0,1,0
20016,UTA,NYI,NYI,GOAL,SHOT,670.0,670.0,2.0,95.0,95.0,126.0,670.0,670.0,670.0,1,25,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20016,UTA,NYI,UTA,GOAL,MISS,1141.0,1141.0,7.0,47.0,131.0,47.0,471.0,471.0,1141.0,1,41,41,2,1,0,0,0,0,0,0,0,0,0,1,0,0
20016,UTA,NYI,UTA,GOAL,SHOT,1987.0,787.0,1.0,36.0,177.0,36.0,787.0,787.0,787.0,1,29,72,3,0,0,0,0,0,0,0,0,0,0,0,1,0
20016,UTA,NYI,NYI,GOAL,MISS,2463.0,63.0,9.0,9.0,9.0,63.0,63.0,63.0,63.0,1,3,83,4,0,0,0,1,0,0,0,0,0,0,0,0,1
20016,UTA,NYI,NYI,GOAL,SHOT,2812.0,412.0,3.0,3.0,3.0,18.0,349.0,349.0,412.0,1,13,93,5,0,0,0,0,0,0,0,0,0,0,0,0,1
20016,UTA,NYI,UTA,GOAL,SHOT,2857.0,457.0,7.0,45.0,45.0,63.0,45.0,45.0,457.0,1,14,94,6,1,0,0,0,0,0,0,0,0,0,0,0,1
20016,UTA,NYI,NYI,GOAL,GIVE,3473.0,1073.0,2.0,31.0,117.0,31.0,616.0,661.0,616.0,1,36,116,7,0,0,0,0,0,0,0,0,0,0,0,0,1
20016,UTA,NYI,UTA,GOAL,HIT,3486.0,1086.0,7.0,13.0,13.0,44.0,13.0,13.0,629.0,1,37,117,8,1,0,0,0,0,0,0,0,0,0,0,0,1
20017,DAL,NSH,DAL,GOAL,FAC,1325.0,125.0,14.0,28.0,28.0,40.0,125.0,125.0,125.0,1,4,39,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20017,DAL,NSH,DAL,GOAL,GIVE,1344.0,144.0,8.0,8.0,8.0,19.0,19.0,144.0,19.0,1,6,41,2,0,0,0,1,0,0,0,0,0,0,0,1,0
20017,DAL,NSH,NSH,GOAL,SHOT,1410.0,210.0,12.0,12.0,12.0,66.0,66.0,210.0,66.0,1,9,44,3,0,0,0,0,1,0,0,0,0,0,0,1,0
20017,DAL,NSH,DAL,GOAL,FAC,1683.0,483.0,12.0,32.0,172.0,32.0,273.0,273.0,339.0,1,15,50,4,0,0,0,1,0,0,0,0,0,0,0,1,0
20017,DAL,NSH,DAL,GOAL,MISS,2295.0,1095.0,7.0,8.0,33.0,8.0,612.0,885.0,612.0,1,36,71,5,0,0,0,0,1,0,0,0,0,0,0,1,0
20017,DAL,NSH,NSH,GOAL,GIVE,2677.0,277.0,2.0,11.0,40.0,11.0,277.0,277.0,277.0,1,12,86,6,0,0,0,0,0,1,0,0,0,0,0,0,1
20017,DAL,NSH,NSH,GOAL,FAC,3505.0,1105.0,1.0,6.0,6.0,68.0,828.0,828.0,1105.0,1,38,112,7,0,0,0,0,1,0,0,0,0,0,0,0,1
20018,CBJ,MIN,MIN,GOAL,BLOCK,1071.0,1071.0,15.0,16.0,16.0,51.0,1071.0,1071.0,1071.0,1,30,30,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20018,CBJ,MIN,CBJ,GOAL,MISS,1320.0,120.0,7.0,9.0,65.0,9.0,120.0,120.0,120.0,1,4,37,2,1,0,0,0,0,0,0,0,0,0,0,1,0
20018,CBJ,MIN,MIN,GOAL,GIVE,2195.0,995.0,3.0,36.0,180.0,36.0,875.0,995.0,875.0,1,32,65,3,0,0,0,0,0,0,0,0,0,0,0,1,0
20018,CBJ,MIN,MIN,GOAL,SHOT,2998.0,598.0,8.0,8.0,8.0,280.0,598.0,598.0,598.0,1,16,88,4,1,0,0,0,0,0,0,0,0,0,0,0,1
20018,CBJ,MIN,CBJ,GOAL,FAC,3426.0,1026.0,5.0,31.0,65.0,31.0,428.0,428.0,1026.0,1,26,98,5,0,1,0,0,0,0,0,0,0,0,0,0,1
20019,STL,S.J,S.J,GOAL,HIT,421.0,421.0,2.0,10.0,135.0,10.0,421.0,421.0,421.0,1,16,16,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20019,STL,S.J,STL,GOAL,HIT,531.0,531.0,2.0,23.0,23.0,80.0,110.0,110.0,531.0,1,20,20,2,1,0,0,0,0,0,0,0,0,0,1,0,0
20019,STL,S.J,S.J,GOAL,BLOCK,1034.0,1034.0,3.0,3.0,3.0,74.0,503.0,613.0,503.0,1,48,48,3,0,0,0,0,0,0,0,0,0,0,1,0,0
20019,STL,S.J,S.J,GOAL,BLOCK,1706.0,506.0,5.0,17.0,17.0,48.0,506.0,506.0,506.0,1,17,71,4,1,0,0,0,0,0,0,0,0,0,0,1,0
20019,STL,S.J,S.J,GOAL,GIVE,2257.0,1057.0,1.0,4.0,4.0,27.0,551.0,551.0,1057.0,1,40,94,5,0,1,0,0,0,0,0,0,0,0,0,1,0
20019,STL,S.J,STL,GOAL,BLOCK,2574.0,174.0,16.0,60.0,174.0,60.0,174.0,174.0,174.0,1,5,104,6,0,0,1,0,0,0,0,0,0,0,0,0,1
20019,STL,S.J,STL,GOAL,BLOCK,2771.0,371.0,10.0,47.0,161.0,47.0,197.0,371.0,197.0,1,10,109,7,0,1,0,0,0,0,0,0,0,0,0,0,1
20019,STL,S.J,STL,GOAL,SHOT,3553.0,1153.0,11.0,47.0,362.0,47.0,782.0,1153.0,782.0,1,28,127,8,1,0,0,0,0,0,0,0,0,0,0,0,1
20020,T.B,CAR,CAR,GOAL,MISS,872.0,872.0,1.0,13.0,13.0,79.0,872.0,872.0,872.0,1,27,27,1,0,0,0,0,0,0,0,0,0,0,1,0,0
20020,T.B,CAR,T.B,GOAL,HIT,1353.0,153.0,7.0,58.0,58.0,108.0,153.0,153.0,153.0,1,4,42,2,1,0,0,0,0,0,0,0,0,0,0,1,0
